song_name,duration,artist,album,album_cover,played_at
Big Me,132333,Foo Fighters,Greatest Hits,https://i.scdn.co/image/ab67616d0000b273136d7250568820409f8fdd60,2022-06-18T21:24:30.457Z
Últimos Días - En Vivo,231874,Zoé,MTV Unplugged Música De Fondo (Reissue/Live),https://i.scdn.co/image/ab67616d0000b2739abba2e4a7600af6c16988a9,2022-06-18T19:58:58.970Z
Boulevard of Broken Dreams,261266,Green Day,Boulevard of Broken Dreams,https://i.scdn.co/image/ab67616d0000b27397e3ca5aecb464f021c601d5,2022-06-18T19:55:06.122Z
"Lovin', Touchin', Squeezin'",234400,Journey,Greatest Hits,https://i.scdn.co/image/ab67616d0000b2736ddaf80e738c802f84250273,2022-06-19T22:56:46.270Z
Any Way You Want It,202320,Journey,Greatest Hits,https://i.scdn.co/image/ab67616d0000b2736ddaf80e738c802f84250273,2022-06-19T20:12:27.301Z
Don't Stop Believin',249093,Journey,Greatest Hits,https://i.scdn.co/image/ab67616d0000b2736ddaf80e738c802f84250273,2022-06-19T20:09:05.287Z
Who's Crying Now,301160,Journey,Greatest Hits,https://i.scdn.co/image/ab67616d0000b2736ddaf80e738c802f84250273,2022-06-19T20:04:55.151Z
Be Good to Yourself,231613,Journey,Greatest Hits,https://i.scdn.co/image/ab67616d0000b2736ddaf80e738c802f84250273,2022-06-19T20:00:59.213Z
Be Good to Yourself,231613,Journey,Greatest Hits,https://i.scdn.co/image/ab67616d0000b2736ddaf80e738c802f84250273,2022-06-19T20:00:55.283Z
Faithfully,266253,Journey,Greatest Hits,https://i.scdn.co/image/ab67616d0000b2736ddaf80e738c802f84250273,2022-06-19T19:53:18.448Z
Send Her My Love,234733,Journey,Greatest Hits,https://i.scdn.co/image/ab67616d0000b2736ddaf80e738c802f84250273,2022-06-19T19:48:51.487Z
Girl Can't Help It,230346,Journey,Greatest Hits,https://i.scdn.co/image/ab67616d0000b2736ddaf80e738c802f84250273,2022-06-19T19:44:57.407Z
Lights,190693,Journey,Greatest Hits,https://i.scdn.co/image/ab67616d0000b2736ddaf80e738c802f84250273,2022-06-19T19:41:06.506Z
Dime Como Tú Quieras,187512,Los Mesoneros,Dime Como Tú Quieras,https://i.scdn.co/image/ab67616d0000b27376a0dcacd16d3bbb0eeec847,2022-06-19T19:35:42.665Z
